Classification report,
Statistical Area 2 2023,
Valid from,01-Jan-2023,
Valid to,Current (as at 20-May-2024),
Lifecycle status,Released,
Audience,OSS,
Code,Descriptor,
100100,"North Cape",
100200,"Rangaunu Harbour",
100301,"Inlets Far North District",
100400,"Karikari Peninsula",
100500,"Tangonge",
100600,"Ahipara",
100700,"Kaitaia East",
100800,"Kaitaia West",
100900,"Rangitihi",
101000,"Oruru-Parapara",
101101,"Doubtless Bay",
101200,"Herekino-Takahue",
101300,"Peria",
101400,"Taemaro-Oruaiti",
101500,"Whakapaku",
101600,"Hokianga North",
101700,"Kohukohu-Broadwood",
101801,"Whakarara",
101900,"Kaeo",
102000,"Omahuta Forest-Horeke",
102100,"Hokianga South",
102201,"Lake Manuwai-Kapiro",
102300,"Okaihau",
102401,"Rangitane-Purerua",
102501,"Waipapa",
102600,"Puketotara",
102700,"Waima Forest",
102801,"Riverview",
102900,"Waipoua Forest",
103000,"Kerikeri Central",
103101,"Kerikeri South",
103200,"Ohaeawai-Waimate North",
103301,"Puketona-Waitangi",
103401,"Ngapuhi",
103501,"Kaikohe",
103600,"Pakaraka",
103700,"Haruru",
103800,"Russell",
103900,"Paihia",
104000,"Mataraua Forest",
104101,"Matawaia-Taumarere",
104200,"Russell Peninsula",
104301,"Opua (Far North District)",
104400,"Russell Forest-Rawhiti",
104501,"Moerewa",
104600,"Kawakawa",
104700,"Maromaku",
104800,"Mangakahia-Hukerenui",
104900,"Whangaruru",
105001,"Inlets other Whangarei District",
105101,"Matarau",
105200,"Hikurangi",
105300,"Kauri",
105400,"Maungatapere",
105500,"Kamo West",
105601,"Matapouri-Tutukaka",
105700,"Kiripaka",
105800,"Kamo East",
105901,"Granfield Reserve",
106000,"Kamo Central",
106100,"Whau Valley",
106201,"Tikipunga North",
106301,"Pukenui",
106401,"Otangarei",
106501,"Tikipunga South",
106600,"Kensington (Whangarei District)",
106700,"Abbey Caves-Glenbervie",
106800,"Mairtown",
106901,"Maunu",
106902,"Horahora",
107000,"Woodhill-Vinetown",
107100,"Whangarei Central",
107200,"Riverside",
107300,"Raumanga",
107401,"Tarewa",
107501,"Morningside (Whangarei District)",
107600,"Ngunguru",
107700,"Otaika-Portland",
107800,"Oakleigh-Mangapai",
107901,"Port-Limeburners",
108000,"Pataua",
108100,"Onerahi Park",
108200,"Sherwood Rise",
108300,"Onerahi",
108400,"Inlet Whangarei Harbour",
108500,"Parua Bay",
108601,"Bream Bay",
108701,"One Tree Point",
108800,"Ruakaka",
108900,"Bream Head",
109003,"Waipu",
109004,"Waipu Rural",
109101,"Kaipara Coastal",
109200,"Maungaru",
109301,"Dargaville",
