STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,YEAR_POPES_SUB_006,Year at 30 June,SEX_POPES_SUB_006,Sex,AGE_POPES_SUB_006,Age,AREA_POPES_SUB_006,Area,OBS_VALUE,Observation value
DATAFLOW,STATSNZ:POPES_SUB_006(1.0),"Subnational population estimates (TA, SA2), by age and sex, at 30 June 1996-2023 (2023 boundaries)",I,2023,2023,SEX3,"Total people, sex",AGE0014,0-14 Years,00100,,15000,
DATAFLOW,STATSNZ:POPES_SUB_006(1.0),"Subnational population estimates (TA, SA2), by age and sex, at 30 June 1996-2023 (2023 boundaries)",I,2023,2023,SEX3,"Total people, sex",AGE0014,0-14 Years,00200,,19900,
DATAFLOW,STATSNZ:POPES_SUB_006(1.0),"Subnational population estimates (TA, SA2), by age and sex, at 30 June 1996-2023 (2023 boundaries)",I,2023,2023,SEX3,"Total people, sex",AGE0014,0-14 Years,00300,,5100,
DATAFLOW,STATSNZ:POPES_SUB_006(1.0),"Subnational population estimates (TA, SA2), by age and sex, at 30 June 1996-2023 (2023 boundaries)",I,2023,2023,SEX3,"Total people, sex",AGE0014,0-14 Years,01100,,4600,
DATAFLOW,STATSNZ:POPES_SUB_006(1.0),"Subnational population estimates (TA, SA2), by age and sex, at 30 June 1996-2023 (2023 boundaries)",I,2023,2023,SEX3,"Total people, sex",AGE0014,0-14 Years,01200,,4000,
DATAFLOW,STATSNZ:POPES_SUB_006(1.0),"Subnational population estimates (TA, SA2), by age and sex, at 30 June 1996-2023 (2023 boundaries)",I,2023,2023,SEX3,"Total people, sex",AGE0014,0-14 Years,01300,,19900,
DATAFLOW,STATSNZ:POPES_SUB_006(1.0),"Subnational population estimates (TA, SA2), by age and sex, at 30 June 1996-2023 (2023 boundaries)",I,2023,2023,SEX3,"Total people, sex",AGE0014,0-14 Years,01500,,7200,
DATAFLOW,STATSNZ:POPES_SUB_006(1.0),"Subnational population estimates (TA, SA2), by age and sex, at 30 June 1996-2023 (2023 boundaries)",I,2023,2023,SEX3,"Total people, sex",AGE0014,0-14 Years,01600,,38100,
DATAFLOW,STATSNZ:POPES_SUB_006(1.0),"Subnational population estimates (TA, SA2), by age and sex, at 30 June 1996-2023 (2023 boundaries)",I,2023,2023,SEX3,"Total people, sex",AGE0014,0-14 Years,01700,,12100,
DATAFLOW,STATSNZ:POPES_SUB_006(1.0),"Subnational population estimates (TA, SA2), by age and sex, at 30 June 1996-2023 (2023 boundaries)",I,2023,2023,SEX3,"Total people, sex",AGE0014,0-14 Years,01800,,2250,
DATAFLOW,STATSNZ:POPES_SUB_006(1.0),"Subnational population estimates (TA, SA2), by age and sex, at 30 June 1996-2023 (2023 boundaries)",I,2023,2023,SEX3,"Total people, sex",AGE0014,0-14 Years,01900,,5800,
DATAFLOW,STATSNZ:POPES_SUB_006(1.0),"Subnational population estimates (TA, SA2), by age and sex, at 30 June 1996-2023 (2023 boundaries)",I,2023,2023,SEX3,"Total people, sex",AGE0014,0-14 Years,02000,,2000,
DATAFLOW,STATSNZ:POPES_SUB_006(1.0),"Subnational population estimates (TA, SA2), by age and sex, at 30 June 1996-2023 (2023 boundaries)",I,2023,2023,SEX3,"Total people, sex",AGE0014,0-14 Years,02100,,7800,
DATAFLOW,STATSNZ:POPES_SUB_006(1.0),"Subnational population estimates (TA, SA2), by age and sex, at 30 June 1996-2023 (2023 boundaries)",I,2023,2023,SEX3,"Total people, sex",AGE0014,0-14 Years,02200,,10400,
DATAFLOW,STATSNZ:POPES_SUB_006(1.0),"Subnational population estimates (TA, SA2), by age and sex, at 30 June 1996-2023 (2023 boundaries)",I,2023,2023,SEX3,"Total people, sex",AGE0014,0-14 Years,02300,,31100,
DATAFLOW,STATSNZ:POPES_SUB_006(1.0),"Subnational population estimates (TA, SA2), by age and sex, at 30 June 1996-2023 (2023 boundaries)",I,2023,2023,SEX3,"Total people, sex",AGE0014,0-14 Years,02400,,16800,
DATAFLOW,STATSNZ:POPES_SUB_006(1.0),"Subnational population estimates (TA, SA2), by age and sex, at 30 June 1996-2023 (2023 boundaries)",I,2023,2023,SEX3,"Total people, sex",AGE0014,0-14 Years,02500,,8300,
DATAFLOW,STATSNZ:POPES_SUB_006(1.0),"Subnational population estimates (TA, SA2), by age and sex, at 30 June 1996-2023 (2023 boundaries)",I,2023,2023,SEX3,"Total people, sex",AGE0014,0-14 Years,02600,,1710,
DATAFLOW,STATSNZ:POPES_SUB_006(1.0),"Subnational population estimates (TA, SA2), by age and sex, at 30 June 1996-2023 (2023 boundaries)",I,2023,2023,SEX3,"Total people, sex",AGE0014,0-14 Years,02700,,2300,
DATAFLOW,STATSNZ:POPES_SUB_006(1.0),"Subnational population estimates (TA, SA2), by age and sex, at 30 June 1996-2023 (2023 boundaries)",I,2023,2023,SEX3,"Total people, sex",AGE0014,0-14 Years,02800,,11600,
DATAFLOW,STATSNZ:POPES_SUB_006(1.0),"Subnational population estimates (TA, SA2), by age and sex, at 30 June 1996-2023 (2023 boundaries)",I,2023,2023,SEX3,"Total people, sex",AGE0014,0-14 Years,02900,,2100,
DATAFLOW,STATSNZ:POPES_SUB_006(1.0),"Subnational population estimates (TA, SA2), by age and sex, at 30 June 1996-2023 (2023 boundaries)",I,2023,2023,SEX3,"Total people, sex",AGE0014,0-14 Years,03000,,18400,
DATAFLOW,STATSNZ:POPES_SUB_006(1.0),"Subnational population estimates (TA, SA2), by age and sex, at 30 June 1996-2023 (2023 boundaries)",I,2023,2023,SEX3,"Total people, sex",AGE0014,0-14 Years,03100,,12500,
DATAFLOW,STATSNZ:POPES_SUB_006(1.0),"Subnational population estimates (TA, SA2), by age and sex, at 30 June 1996-2023 (2023 boundaries)",I,2023,2023,SEX3,"Total people, sex",AGE0014,0-14 Years,03200,,3250,
