Concordance report,
Urban Rural 2023 to Urban Rural Indicator,
Valid from,01-Jan-2023,
Valid to,01-Jan-2024,
Lifecycle status,Released,
Urban Rural 2023,"","",Urban Rural Indicator
UR2023 V1.0.0,"","",IUR2018 V1.0.0
"1001","Pukenui","Many To One Map","21","Rural settlement",
"1002","Kaimaumau","Many To One Map","21","Rural settlement",
"1003","Tokerau Beach","Many To One Map","21","Rural settlement",
"1004","Karikari","Many To One Map","21","Rural settlement",
"1005","Awanui","Many To One Map","21","Rural settlement",
"1006","Ahipara","Many To One Map","14","Small urban area",
"1007","Kaitaia","Many To One Map","14","Small urban area",
"1008","Taipa","Many To One Map","21","Rural settlement",
"1009","Cable Bay","Many To One Map","21","Rural settlement",
"1010","Coopers Beach","Many To One Map","21","Rural settlement",
"1011","Hihi","Many To One Map","21","Rural settlement",
"1012","Mangonui","Many To One Map","21","Rural settlement",
"1013","Other rural Far North District","Many To One Map","22","Rural other",
"1014","Whangaroa","Many To One Map","21","Rural settlement",
"1015","Inlets Far North District","Many To One Map","32","Inlet",
"1016","Kaeo","Many To One Map","21","Rural settlement",
"1017","Kohukohu","Many To One Map","21","Rural settlement",
"1018","Rawene","Many To One Map","21","Rural settlement",
"1019","Opononi","Many To One Map","21","Rural settlement",
"1020","Omapere","Many To One Map","21","Rural settlement",
"1021","Okaihau","Many To One Map","21","Rural settlement",
"1022","Waipapa","Many To One Map","21","Rural settlement",
"1023","Inland water Far North District","Many To One Map","31","Inland water",
"1024","Rangitane","Many To One Map","21","Rural settlement",
"1025","Kerikeri","Many To One Map","14","Small urban area",
"1026","Kaikohe","Many To One Map","14","Small urban area",
"1027","Kerikeri Inlet","Many To One Map","21","Rural settlement",
"1028","Ohaeawai","Many To One Map","21","Rural settlement",
"1029","Ngawha Springs","Many To One Map","21","Rural settlement",
"1030","Waitangi (Far North District)","Many To One Map","21","Rural settlement",
"1031","Haruru","Many To One Map","14","Small urban area",
"1032","Paihia","Many To One Map","14","Small urban area",
"1033","Russell","Many To One Map","21","Rural settlement",
"1034","Opua","Many To One Map","14","Small urban area",
"1035","Moerewa","Many To One Map","14","Small urban area",
"1036","Okiato","Many To One Map","21","Rural settlement",
"1037","Kawakawa","Many To One Map","14","Small urban area",
"1038","Oakura-Whangaruru South","Many To One Map","21","Rural settlement",
"1039","Hikurangi","Many To One Map","14","Small urban area",
"1040","Other rural Whangarei District","Many To One Map","22","Rural other",
"1041","Maungatapere","Many To One Map","21","Rural settlement",
"1042","Matapouri","Many To One Map","21","Rural settlement",
"1043","Whangarei","Many To One Map","12","Large urban area",
"1044","Ngunguru","Many To One Map","14","Small urban area",
"1045","Inlets Whangarei District","Many To One Map","32","Inlet",
"1046","Tutukaka","Many To One Map","21","Rural settlement",
"1047","Pataua","Many To One Map","21","Rural settlement",
"1048","Parua Bay","Many To One Map","21","Rural settlement",
"1049","One Tree Point","Many To One Map","14","Small urban area",
"1050","Ruakaka","Many To One Map","14","Small urban area",
"1051","Whangarei Heads","Many To One Map","21","Rural settlement",
"1052","Waipu","Many To One Map","14","Small urban area",
"1053","Waipu Cove-Langs Beach","Many To One Map","21","Rural settlement",
"1054","Baylys Beach","Many To One Map","21","Rural settlement",
"1055","Dargaville","Many To One Map","14","Small urban area",
"1056","Te Kopuru","Many To One Map","21","Rural settlement",
"1057","Other rural Kaipara District","Many To One Map","22","Rural other",
"1058","Ruawai","Many To One Map","21","Rural settlement",
"1059","Paparoa","Many To One Map","21","Rural settlement",
"1060","Pahi","Many To One Map","21","Rural settlement",
"1061","Maungaturoto","Many To One Map","21","Rural settlement",
"1062","Kaiwaka","Many To One Map","21","Rural settlement",
"1063","Mangawhai Heads","Many To One Map","14","Small urban area",
"1064","Mangawhai","Many To One Map","14","Small urban area",
"1065","Inlet Kaipara District","Many To One Map","32","Inlet",
"1066","Port Albert","Many To One Map","21","Rural settlement",
"1067","Te Hana","Many To One Map","21","Rural settlement",
"1068","Wellsford","Many To One Map","14","Small urban area",
"1069","Kaipara Flats","Many To One Map","21","Rural settlement",
"1070","Shelly Beach","Many To One Map","21","Rural settlement",
"1071","Warkworth","Many To One Map","14","Small urban area",
"1072","Matakana","Many To One Map","21","Rural settlement",
"1073","Whangateau","Many To One Map","21","Rural settlement",
"1074","Point Wells","Many To One Map","21","Rural settlement",
"1075","Leigh","Many To One Map","21","Rural settlement",
"1076","Ti Point","Many To One Map","21","Rural settlement",
"1077","Rainbows End","Many To One Map","21","Rural settlement",
"1078","Omaha","Many To One Map","21","Rural settlement",
"1079","Sandspit","Many To One Map","21","Rural settlement",
"1080","Baddeleys Beach-Campbells Beach","Many To One Map","21","Rural settlement",
"1081","Parakai","Many To One Map","14","Small urban area",
"1082","Snells Beach","Many To One Map","14","Small urban area",
"1083","Kaukapakapa","Many To One Map","21","Rural settlement",
"1084","Puhoi","Many To One Map","21","Rural settlement",
"1085","Helensville","Many To One Map","14","Small urban area",
"1086","Scotts Landing-Mahurangi East","Many To One Map","21","Rural settlement",
"1087","Algies Bay","Many To One Map","21","Rural settlement",
"1088","Mahurangi West","Many To One Map","21","Rural settlement",
"1089","Waiwera","Many To One Map","21","Rural settlement",
"1090","Kawau Island","Many To One Map","21","Rural settlement",
"1091","Waimauku","Many To One Map","14","Small urban area",
"1092","Muriwai","Many To One Map","14","Small urban area",
"1093","Hibiscus Coast","Many To One Map","12","Large urban area",
"1094","Kumeu-Huapai","Many To One Map","14","Small urban area",
"1095","Stillwater","Many To One Map","21","Rural settlement",
"1096","Inlets Auckland","Many To One Map","32","Inlet",
"1097","Riverhead","Many To One Map","14","Small urban area",
"1098","Other rural Auckland","Many To One Map","22","Rural other",
